User_ID,Transaction_Date,Transaction_Status,Amount,Payment_Method
U0001,2023-11-19,Pending,14.99,Apple Pay
U0002,2023-08-20,Pending,14.99,Cryptocurrency
U0003,2023-07-25,Pending,5.99,PayPal
U0004,2022-05-04,Failed,9.99,Google Pay
U0005,2023-06-20,Failed,14.99,Credit Card
U0006,2022-10-18,Pending,9.99,Credit Card
U0007,2025-01-27,Pending,5.99,Credit Card
U0008,2024-07-31,Paid,14.99,Credit Card
U0009,2023-09-10,Paid,5.99,Google Pay
U0010,2022-08-12,Failed,14.99,PayPal
U0011,2023-02-02,Paid,5.99,Google Pay
U0012,2023-01-10,Failed,9.99,Cryptocurrency
U0013,2022-08-31,Paid,9.99,Cryptocurrency
U0014,2023-02-06,Paid,9.99,Credit Card
U0015,2024-12-21,Failed,9.99,Apple Pay
U0016,2023-05-07,Pending,14.99,Bank Transfer
U0017,2024-09-30,Pending,14.99,Apple Pay
U0018,2023-09-26,Paid,9.99,Google Pay
U0019,2024-01-04,Paid,5.99,Bank Transfer
U0020,2023-10-18,Pending,5.99,Google Pay
U0021,2022-11-15,Pending,14.99,Cryptocurrency
U0022,2023-12-09,Pending,14.99,Apple Pay
U0023,2023-06-23,Pending,9.99,Apple Pay
U0024,2022-03-21,Paid,9.99,Credit Card
U0025,2024-04-06,Failed,14.99,Apple Pay
U0026,2024-03-13,Paid,5.99,Credit Card
U0027,2024-02-08,Failed,5.99,PayPal
U0028,2023-10-21,Failed,9.99,Google Pay
U0029,2024-12-11,Pending,14.99,Google Pay
U0030,2024-03-31,Pending,9.99,Credit Card
U0031,2022-05-16,Pending,14.99,Apple Pay
U0032,2022-06-27,Pending,14.99,PayPal
U0033,2023-07-27,Failed,14.99,Cryptocurrency
U0034,2023-04-15,Paid,14.99,Credit Card
U0035,2024-04-16,Failed,9.99,Google Pay
U0036,2023-07-29,Failed,14.99,PayPal
U0037,2024-12-09,Failed,5.99,PayPal
U0038,2022-11-15,Pending,9.99,Apple Pay
U0039,2022-04-17,Failed,9.99,Bank Transfer
U0040,2022-12-28,Paid,14.99,Apple Pay
U0041,2022-12-29,Failed,14.99,Apple Pay
U0042,2024-10-19,Paid,14.99,Apple Pay
U0043,2023-06-06,Paid,5.99,Bank Transfer
U0044,2023-04-16,Failed,9.99,Apple Pay
U0045,2023-01-21,Pending,5.99,Credit Card
U0046,2024-07-05,Failed,9.99,PayPal
U0047,2023-08-31,Paid,14.99,Google Pay
U0048,2024-09-11,Failed,5.99,Bank Transfer
U0049,2024-05-05,Failed,9.99,PayPal
U0050,2024-04-24,Paid,5.99,Cryptocurrency
U0051,2023-01-02,Pending,9.99,PayPal
U0052,2024-07-14,Failed,9.99,Bank Transfer
U0053,2022-09-16,Paid,9.99,Google Pay
U0054,2023-01-01,Pending,9.99,Cryptocurrency
U0055,2024-08-12,Paid,5.99,Credit Card
U0056,2023-08-06,Paid,9.99,PayPal
U0057,2025-03-12,Failed,5.99,Google Pay
U0058,2022-04-07,Pending,14.99,PayPal
U0059,2023-08-13,Pending,14.99,Apple Pay
U0060,2023-03-21,Failed,14.99,Bank Transfer
U0061,2023-01-24,Pending,9.99,PayPal
U0062,2024-07-30,Pending,9.99,PayPal
U0063,2023-12-11,Paid,14.99,Apple Pay
U0064,2023-04-11,Failed,9.99,Cryptocurrency
U0065,2024-03-02,Paid,5.99,Apple Pay
U0066,2024-02-06,Paid,9.99,Cryptocurrency
U0067,2024-09-09,Paid,9.99,Cryptocurrency
U0068,2024-06-03,Failed,9.99,Bank Transfer
U0069,2022-05-19,Pending,14.99,Credit Card
U0070,2025-02-02,Failed,5.99,Apple Pay
U0071,2025-02-15,Failed,9.99,Bank Transfer
